timestamp,latitude,longitude,fix_status,HDOP,satellites_in_use
2023-03-28T09:00:00,43.662623,-79.397066,3,1.2,7
2023-03-28T09:00:10,43.662718,-79.396846,3,1.1,8
2023-03-28T09:00:20,43.662820,-79.396640,3,1.0,9
2023-03-28T09:00:30,43.662917,-79.396458,2,1.1,8
2023-03-28T09:00:40,43.663011,-79.396249,2,1.2,7
2023-03-28T09:00:50,43.663076,-79.396079,1,1.3,6
2023-03-28T09:01:00,43.663192,-79.395890,3,1.2,7
2023-03-28T09:01:10,43.663284,-79.395698,2,1.3,6
2023-03-28T09:01:20,43.663376,-79.395495,3,1.1,8
2023-03-28T09:01:30,43.663474,-79.395321,2,1.2,7
